Source: www.abc.org.uk/data Detailed Data Exported: 08/11/2022 12:15:44 
Copyright & Database right – all rights reserved. see www.abc.org.uk/copyright for details
"PERIOD","START DATE","END DATE","TITLE","REGISTRATION STATUS","OWNER","MARKET SECTOR","ISSUES","COVER PRICE","REGION","PLATFORM","CATEGORY/RATE","AVG. PER ISSUE"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Print","Paid Subscriptions - 20-99%","15"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Digital","Paid Subscriptions - 20-99%","120"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Digital","Paid Subscriptions - All You Can Read","6477"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Digital","Paid Subscriptions - All You Can Read","1853"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Print","Paid Subscriptions - Below 20%","668"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Digital","Paid Subscriptions - Below 20%","1"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Print","Paid Subscriptions - Below 20%","1"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Print","Paid Subscriptions - Full Rate","16281"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Digital","Paid Subscriptions - Full Rate","102"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Print","Paid Subscriptions - Full Rate","103"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Digital","Paid Subscriptions - Full Rate","52"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Print","Paid Subscriptions - Multiple Copy","4"
